"GID_1","member_community","trpar","trtax","trgov","trlaw","trgen","trrel","trnei","tracq","railway_contact","explorer_contact","district_ethnic_frac","loc_ln_export_area","distsea","mp_service"
"MAR5",0.065685518,0.872729596990559,0.888848688047158,0.920813841860709,1.1400673070023,0.183572730269906,1.71974940365499,1.10012572351067,0.93976053859639,NA,NA,NA,NA,NA,1
"MAR6",0.5,0.9,1.375,0.8,1.5,0.3,2.2,2.2,2,NA,NA,NA,NA,NA,1
"MAR7",0,1.12405287763985,1.23193800805288,1.32808908045977,1.6,0,2.41752873563218,1.79123563218391,1.64561781609195,NA,NA,NA,NA,NA,1
"MAR8",0.12899743,0.988118276994673,0.974740571355684,1.14484614703397,1.35036296997181,0.0542419523113402,2.37924792094062,1.570394718336,1.34182218588769,NA,NA,NA,NA,NA,1
"MAR9",0.22542089,0.427542982388799,0.358839614489498,0.385839859759283,0.668055705638981,0.0926937074608282,2.21771903953044,1.34323461223966,1.63629440465829,NA,NA,NA,NA,NA,1
"MDG1",0.2024337775,NA,0.981727719263929,1.49568731137366,1.01200282407971,0.185760616346695,1.79143985555777,1.32214021334154,1.04922015404563,0.22734875,0.80393315,0.4016034675,0.00772875885,882.094670678983,0.668542560968488
"MDG2",0.362230765,NA,1.41735216645514,1.81275379058431,1.24321564763566,0.31318761989149,2.05923794181484,1.52445220157047,1.12375418865387,0.0783028695,0.95795688,0.52923404,0.0253204315,836.515862689792,0.857028970168147
"MDG3",0.15770115625,NA,0.907755824488394,1.74831821610909,1.24451061126902,0.0785833111979225,2.2088457163395,1.38209135431461,0.951780458910477,0.148839619,0.875674455,0.449142925,0.027401355525,807.810013799678,0.693353195218633
"MDG4",0.1510886338,NA,1.28491143652481,1.77190930171103,1.1501069578153,0.220128328775693,1.97951592863461,1.44936492800131,1.04521064337812,0.2484030912,0.930131722,0.527978558,0.01369271834,736.39261579083,0.335752610936427
"MDG5",0.102855871,NA,1.36191969234621,1.84817355953084,1.56107577291928,0.513001349416046,2.19439542885521,1.84111952007797,1.41954253153723,0.252878506666667,0.979595006666667,0.411833683333333,0.0233433948,798.683894391243,0.696112842582368
"MDG6",0.23796054475,NA,1.21954909479334,1.55974858340473,1.249056752553,0.339353301145655,2.43990144715123,1.56139869845086,1.40966153563182,0.19250895775,0.9376910325,0.5452420125,0.0416334475,829.198796189124,0.952109640073528
"MLI1",0.34431985,1.38200248926672,1.58588223187327,1.26814743391915,1.44736077190326,0.152379448598003,2.91786691985376,2.02434495611035,1.15850671512561,NA,NA,NA,NA,NA,1
"MLI3",0.61773306,1.45242628374691,1.332820197218,1.78750438353895,1.53531781062783,0.292947171323891,2.84868276695031,2.47860472990674,2.16713525076803,1,0.31356049,0.16105671,8.3200146e-05,493.702654236046,0.750039639033715
"MLI5",0.524533285,1.07594792510727,1.22592266314458,1.42980181253233,1.05621252475303,0.276491649050529,2.93026958541035,2.43526747984851,1.56986241576483,1,0.79536206,0.22719762,0,615.825620231465,0.958667363245197
"MLI6",0.42608288,1.92560406458091,1.93345214286212,2.14977905407319,1.76823459855539,0.399247478374741,2.96255448950408,2.55695098058351,1.46203428461788,NA,NA,NA,NA,NA,0.902872602868227
"MLI7",0.72100556,1.36579615034387,1.63784072463594,1.77460700739319,1.50634539477514,0.178621989297559,2.69628213649213,2.289965576353,1.6200339406916,NA,NA,NA,NA,NA,1
"MLI8",0.63659972,1.90538596326887,1.5284862883232,1.96500745004446,1.61602324413709,0.281889074214679,2.83340074460323,2.28813644615447,1.25384654021326,1,0.0046759844,0.19109704,0.014933573,51.8841978856876,0.684194011190429
"MOZ1",0.22873583,2.55514433547638,2.48017436212001,2.4670726853963,2.60941145421094,0.19201407944217,2.86684149134029,2.15994273562006,1.46171238510896,NA,NA,NA,NA,NA,0.871365664340927
"MOZ10",0.3537322,2.17245995463738,2.0691096098736,2.19931970084918,2.06816475950036,0.21368200600458,2.43317935689788,2.15473862064621,1.85848617709452,NA,NA,NA,NA,NA,0.872751254205344
"MOZ11",0.47509095,1.98786024520574,1.86921493335074,2.0376220729589,2.01175468560057,0.124283292102909,2.35483688899521,1.92827845933832,1.51396307178811,NA,NA,NA,NA,NA,0.80973937484715
"MOZ2",0.25405118,2.33496225768184,2.09284882590423,2.25707915848315,2.39565316759596,0.113796305427423,2.20597325660484,1.64969233984474,0.688185398186425,NA,NA,NA,NA,NA,1
"MOZ3",0.24038145,1.98016731149463,1.64991219109578,1.71153560574352,1.97525438464624,0.0486480615019296,2.09876138995905,1.57218854049092,0.916242872861662,NA,NA,NA,NA,NA,1
"MOZ4",0.28213844,1.60152791187929,1.34019480651103,1.81174378797862,1.81194991423901,0.0421340876687972,2.69753565942383,2.12294411134089,1.25753841853253,NA,NA,NA,NA,NA,1
"MOZ5",0.19512871,1.4218780720417,1.30785190705489,1.05597512096077,1.63272062314517,0.0064139768203365,2.09953965395166,1.19963030498028,0.493956384887501,NA,NA,NA,NA,NA,1
