,GID_1,Mean_of_Night_Light,Std_of_Night_Light,Mean_distance_to_major_rd,Std_distance_to_major_rd,Mean_built_settlement_growth,Std_built_settlement_growth
660,GMB3,0.0648353504092353,0.09600210871568252,3.3445249526087757,1.2694940751139379,239.7797978245764,74.14800933714298
661,GMB4,0.03792137876476472,0.031789096071775456,2.80465631181066,1.002746683406068,239.64416577655453,64.84542314352333
662,GMB5,0.09175372401390941,0.09067709465142054,3.0196066958536694,0.9343895202321624,239.74245109739346,62.28189228427321
663,GMB6,0.32779283677380844,0.2930803390119281,2.181914197895628,0.6916048462136156,238.49596459634105,57.65590105678956
664,GIN1,0.08032504719037852,0.1120687111750022,8.887308656563109,2.9980459974340707,239.90460261561597,60.86074097344149
665,GIN2,3.740976289745197,0.177259590241938,3.0752327970663265,0.11744496207970556,239.91813879562469,6.975304350646005
666,GIN3,0.12717168370804646,0.16714432066404653,8.590818665795926,3.0608828823130136,239.94336090877746,62.2182599027755
667,GIN4,0.09437244275214805,0.1848468278400967,7.492268563695049,3.8287618827224477,239.88902826917675,84.60026198460854
668,GIN5,0.0762606531582332,0.06127967096706209,4.001138447839465,1.1828790161359048,239.8206442361829,53.24864363172113
669,GIN6,0.16254415509810405,0.16834989818818488,10.687982949708298,3.040847197691185,239.91327071016812,50.40501388981602
670,GIN7,0.08749424544136393,0.057144300194856626,6.284958422350223,1.513847673915657,239.92993015340357,44.78416699379135
671,GIN8,0.08525489546426038,0.11254091930092254,6.338426413367198,2.4784365629726963,239.81997243398965,62.645156404445714
672,GAB1,0.15031839069022057,0.2598527340667077,23.30503413813069,6.128473907938248,239.89977324183948,49.27460336646609
673,GAB2,0.0840875362693409,0.09564110331737884,21.840355372130084,6.929400268593937,239.95653836844858,63.10755488445251
674,GAB3,0.1434030330901871,0.9982218497752176,22.504408240085635,5.560253769779006,239.9897765142608,46.76463723980707
675,GAB4,0.07488888242199061,0.17905852414724774,23.435652687819736,8.608061678141494,239.98376200255987,66.98206816514968
676,GAB5,0.08261428372156278,0.10197774569260101,16.64145960172954,4.546465104440199,239.98761997647983,51.52409380266303
677,GAB6,0.033799299109625314,0.015257085550684711,17.05115282718742,6.24732175846045,239.98167493682948,70.8379082990398
678,GAB7,0.04051214883130071,0.019916408756997052,27.61315269593955,8.234493834632772,239.9911992064131,58.90420485156717
679,GAB8,0.5345611576335616,2.237405394132606,31.953952165379135,8.372173764568918,239.97038523373493,52.6968556703107
680,GAB9,0.04172118254478712,0.03953446574322387,27.397110129721085,9.626383602298962,239.97042551666414,66.27957519555851
681,ERI1,0.7155193329176937,0.07390285474391822,2.7539177380866877,0.17706987177415023,239.9397555807381,12.48197490898662
682,ERI2,0.38394494610904845,0.016801058673238486,16.68618631368658,4.764326176486098,239.9953649284586,51.385592018433705
683,ERI3,0.07822818998803747,0.0207943366658392,30.845293049622544,11.25027359634754,239.97577011738596,62.436851685860105
684,ERI4,0.235932288897239,0.051095178204521766,13.1125306457701,4.416762248867785,239.97827707203012,61.9574155957179
685,ERI5,0.278725010946164,0.009983387335935665,8.97560381264706,1.5854674034505878,239.93587885880552,34.05754768523961
686,ERI6,0.2854290414270026,0.022275861820683477,47.80756919896527,11.566794901816976,239.9797265393121,51.32585744538644
687,EGY1,8.067438231903324,0.768727126298956,2.1657305149310173,0.15152412016377567,239.91268080023144,12.004644083096405
688,EGY2,0.3858612703022469,1.3321578484862249,27.439882603934485,9.008784747035358,239.97842507292438,59.674185085304245
689,EGY3,3.6296877688319182,0.7951653475515147,9.624369357959514,1.2914114574908384,239.89338727611266,21.0023527991853
690,EGY4,9.387397993324013,0.5419530034665372,1.4128090350370643,0.07000483271894929,239.9678356544975,8.260970462402758
691,EGY5,10.13717091438319,0.6005782662551075,1.4991475058563493,0.07027999488855509,239.93654583639818,8.811379313486887
692,EGY6,12.894543029710912,1.571959528374019,5.369115960052109,0.330506446435832,239.9392514320834,9.954086985745978
693,EGY7,2.7585908742289265,0.5155736814659794,2.954868918419882,0.2438960429448694,239.96519719613696,14.827750371600505
694,EGY8,1.658636517352399,1.3805288824870134,16.02523574551611,3.328620863865702,239.88133420991403,36.80790257206045
695,EGY9,10.131333449168013,0.5439068314815524,2.00167135116564,0.09699133870905373,239.9391818705066,9.15414912858366
696,EGY10,0.860703947613206,0.5711509493149938,27.48679810610464,5.170374808720225,239.9341489545046,34.135065163242956
697,EGY11,1.263839999989771,0.4107318868050087,6.295894511691645,0.580934604908248,239.9943437660457,14.620075647357588
698,EGY11,41.31867378736517,1.7769629175356194,1.0156365869331012,0.0441158036995681,239.8968540590033,7.272865286422016
699,EGY12,21.955434323397697,0.8792191927863773,1.0864498797437614,0.03915643866539492,239.93717527263934,6.662579769873071
700,EGY13,9.61002016085789,0.3655713406277536,2.013747807299701,0.05788690146111021,239.98906585884507,4.784979684274174
701,EGY14,0.05650487885185503,0.3298970670125916,93.32298245403143,60.65270368293862,239.98471184293587,106.9334782862948
702,EGY15,1.6413126573339034,0.6966953665119292,9.813809764533035,1.1063363624832747,239.9826675288339,18.9661005419991
703,EGY16,8.188167228132006,0.7930133305410593,3.0271775958392,0.2504440867526196,239.8699981772429,14.358858749239834
